study_type,ckpt_dir,mode,dataset_name,sparsity_bias,prune_bias,quant_bias,dense_ppl,policy_ppl,fixed_ppl,random_ppl,drift_aware_ppl,emc_ppl,lrm_ppl,ecov_ppl,dcp_ppl,qnr_ppl,dynr_ppl,dense_keep_all,policy_keep_all,policy_keep_eff,policy_prune_keep,policy_quant_ratio,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,random_keep_all,random_prune_keep,random_quant_ratio
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,30.5,0.0,9.572114832340604,10.383669950202693,10.665785652315154,10.522583563273932,,,,11.05533825665617,80.84332487997615,,,1.0,1.0,1.0,0.6528645652035873,1.0,1.0,0.6528645637134711,1.0,1.0,0.6499999806284904,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,30.0,0.0,9.572114832340604,10.390601469543528,10.666306455345026,10.541182342626566,,,,11.0504810210532,81.22052358575554,,,1.0,1.0,1.0,0.6536458161969979,1.0,1.0,0.6536458159486452,1.0,1.0,0.6562499766548474,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,15.0,0.0,9.572114832340604,10.354473202196903,10.39702993608188,10.50453050346786,,,,11.024970663437454,81.74038409284674,,,1.0,1.0,1.0,0.6761458178361257,1.0,1.0,0.6761457900206248,1.0,1.0,0.6749999759097894,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,10.0,0.0,9.572114832340604,10.266873282642912,10.445880417775864,10.44027134395126,,,,11.021741164657607,81.68718501623974,,,1.0,1.0,1.0,0.682083319624265,1.0,1.0,0.6820833126703898,1.0,1.0,0.6812499806284904,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,10.0,0.0,9.572114832340604,10.266873282642912,10.445880417775864,10.44027134395126,,,,11.021741164657607,81.68718501623974,,,1.0,1.0,1.0,0.682083319624265,1.0,1.0,0.6820833126703898,1.0,1.0,0.6812499806284904,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,9.0,0.0,9.572114832340604,10.291466988520384,10.467324614639145,10.44027134395126,,,,11.014926440192356,81.63933545106553,,,1.0,1.0,1.0,0.6833854029575984,1.0,1.0,0.6833854009707768,1.0,1.0,0.6812499806284904,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,8.0,0.0,9.572114832340604,10.316035654754517,10.373703438680616,10.44027134395126,,,,11.014926440192356,81.63933545106553,,,1.0,1.0,1.0,0.6841145706673463,1.0,1.0,0.6841145704189936,1.0,1.0,0.6812499806284904,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,6.0,0.0,9.572114832340604,10.251844927266294,10.3267030847128,10.354557467458417,,,,11.014926440192356,81.58089071112256,,,1.0,1.0,1.0,0.6859895706176757,1.0,1.0,0.685989577571551,1.0,1.0,0.6874999850988388,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,4.0,0.0,9.572114832340604,10.189629044629273,10.361385231528477,10.354557467458417,,,,11.014926440192356,81.70846049079488,,,1.0,1.0,1.0,0.6871874881287415,1.0,1.0,0.6871874988079071,1.0,1.0,0.6874999850988388,1.0
pruning,RL_LCE_Prune-20251030-202125,8844,wikitext,0.0,2.0,0.0,9.572114832340604,10.195352366896673,10.360710684135626,10.354557467458417,,,,11.025778185977964,82.29571250666312,,,1.0,1.0,1.0,0.6882812378307184,1.0,1.0,0.6882812492549419,1.0,1.0,0.6874999850988388,1.0
