ckpt_dir,mode,dataset_name,sparsity_bias,prune_bias,quant_bias,policy_ppl,fixed_ppl,policy_keep_all,policy_prune_keep,policy_quant_ratio,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,sparsity_levels_kappa_order,policy_action_probs_kappa_order,fixed_levels_kappa_order,fixed_action_probs_kappa_order
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-5.0,-7.0,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-10.0,-5.0,-7.0,10.205159392290335,10.189510583298658,0.7915178582604442,0.9996651788907391,0.8822544642857143,0.800000011920929,0.9996651788907391,0.8822544642857143,0.200000|1.000000,0.000000|0.233817|0.025112|0.000000|0.001674|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.739397|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.011161|0.238839|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.224330|0.523996|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000,0.000000|0.011161|0.238839|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.224330|0.523996|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-5.0,-6.5,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,0.0,-5.0,-7.0,10.526168526712553,11.29214264670593,0.504910715855658,0.9991071437086377,0.8244977678571429,0.5,0.9991071437086377,0.8244977678571429,0.200000|1.000000,0.000000|0.346540|0.267857|0.000000|0.004464|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.381138|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.205357|0.416853|0.000000|0.001116|0.001674|0.000000|0.000000|0.000000|0.000000|0.143973|0.229353|0.000000|0.000558|0.001116|0.000000|0.000000|0.000000,0.000000|0.205357|0.416853|0.000000|0.001116|0.001674|0.000000|0.000000|0.000000|0.000000|0.143973|0.229353|0.000000|0.000558|0.001116|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-5.0,-7.0,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-5.0,-6.0,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-5.0,-6.5,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-10.0,-5.0,-6.5,10.206583202457859,10.259404062352022,0.7781250004523567,0.9996651788907391,0.8643973214285714,0.800000011920929,0.9996651788907391,0.8643973214285714,0.200000|1.000000,0.000000|0.269531|0.006138|0.000000|0.001674|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.722656|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.026786|0.223214|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.244420|0.503906|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000,0.000000|0.026786|0.223214|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.244420|0.503906|0.000000|0.000000|0.001674|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,0.0,-5.0,-6.5,10.526902799568226,11.358501766655843,0.5058035736105272,0.9989955366722175,0.7633928571428571,0.5,0.9989955366722175,0.7633928571428571,0.200000|1.000000,0.000000|0.468192|0.144531|0.000000|0.005022|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.382254|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.295201|0.328125|0.000000|0.000558|0.001116|0.000000|0.000000|0.000000|0.000000|0.176339|0.195312|0.000000|0.001116|0.002232|0.000000|0.000000|0.000000,0.000000|0.295201|0.328125|0.000000|0.000558|0.001116|0.000000|0.000000|0.000000|0.000000|0.176339|0.195312|0.000000|0.001116|0.002232|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-5.0,-5.5,9.794031391798864,9.794714593039688,1.0,0.9998883929635797,0.9997209821428571,1.0,0.9998883929635797,0.9997209821428571,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.999442|0.000000|0.000558|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000558|0.998884|0.000000|0.000000|0.000558|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000558|0.998884|0.000000|0.000000|0.000558|0.000000|0.000000|0.000000
