ckpt_dir,ckpt_path,mode,dataset_name,dataset_config,split,eval_batches,target_keep_effective,target_prune_keep,target_quant_ratio,policy_ppl,policy_keep_all,policy_keep_effective_actual,policy_prune_keep_actual,policy_quant_ratio_actual,fixed_ppl,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,sparsity_levels_kappa_order,policy_action_probs_kappa_order,fixed_action_probs_kappa_order,sparsity_criteria,sparsity_bias,prune_bias,quant_bias,tgt_keep_cli,tgt_prune_keep_cli,tgt_quant_ratio_cli,tgt_quant_bits_cli,rand_num_trials,rand_seeds,rand_ppl_trials,rand_keep_all_trials,rand_keep_eff_trials,rand_prune_keep_trials,rand_quant_ratio_trials,rand_tokens_eff_trials,rand_tokens_trials
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.21350446695994055,1.0,1.0,10.797609605255314,0.21350446695994055,0.21350446695994055,1.0,1.0,10.839114151397524,0.21250000596046448,1.0,1.0,0.100000|1.000000,0.873884|0.126116,0.875000|0.125000,quest,0.0,0.0,0.0,0.1,,,,1,1234,10.861820,0.212500,0.212500,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.24112723415185297,1.0,1.0,10.77203177799245,0.24112723415185297,0.24112723415185297,1.0,1.0,10.794597299624064,0.26875001192092896,1.0,1.0,0.100000|1.000000,0.843192|0.156808,0.812500|0.187500,quest,0.0,0.0,0.0,0.15,,,,1,1234,10.726294,0.268750,0.268750,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.27377232403627466,1.0,1.0,10.592458642602619,0.27377232403627466,0.27377232403627466,1.0,1.0,10.794597299624064,0.26875001192092896,1.0,1.0,0.100000|1.000000,0.806920|0.193080,0.812500|0.187500,quest,0.0,0.0,0.0,0.2,,,,1,1234,10.726294,0.268750,0.268750,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.30742187831284745,1.0,1.0,10.597632004474217,0.30742187831284745,0.30742187831284745,1.0,1.0,10.607246380873482,0.32500001788139343,1.0,1.0,0.100000|1.000000,0.769531|0.230469,0.750000|0.250000,quest,0.0,0.0,0.0,0.25,,,,1,1234,10.661397,0.325000,0.325000,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.34709821581574424,1.0,1.0,10.510027475470068,0.34709821581574424,0.34709821581574424,1.0,1.0,10.607246380873482,0.32500001788139343,1.0,1.0,0.100000|1.000000,0.725446|0.274554,0.750000|0.250000,quest,0.0,0.0,0.0,0.3,,,,1,1234,10.661397,0.325000,0.325000,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.3943080394528806,1.0,1.0,10.413699613342965,0.3943080394528806,0.3943080394528806,1.0,1.0,10.675536325391832,0.3812500238418579,1.0,1.0,0.100000|1.000000,0.672991|0.327009,0.687500|0.312500,quest,0.0,0.0,0.0,0.35,,,,1,1234,10.561471,0.381250,0.381250,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.44101562896477325,1.0,1.0,10.350694008539925,0.44101562896477325,0.44101562896477325,1.0,1.0,10.481474598935181,0.4375,1.0,1.0,0.100000|1.000000,0.621094|0.378906,0.625000|0.375000,quest,0.0,0.0,0.0,0.4,,,,1,1234,10.526169,0.437500,0.437500,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.4887276816048792,1.0,1.0,10.303151061867556,0.4887276816048792,0.4887276816048792,1.0,1.0,10.444981792053571,0.4937500059604645,1.0,1.0,0.100000|1.000000,0.568080|0.431920,0.562500|0.437500,quest,0.0,0.0,0.0,0.45,,,,1,1234,10.465402,0.493750,0.493750,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.535435269719788,1.0,1.0,10.212992806881976,0.535435269719788,0.535435269719788,1.0,1.0,10.377442775116076,0.550000011920929,1.0,1.0,0.100000|1.000000,0.516183|0.483817,0.500000|0.500000,quest,0.0,0.0,0.0,0.5,,,,1,1234,10.428238,0.550000,0.550000,1.000000,1.000000,1792,1792
TokSparse_K10K100-20251206-162116,/home/ya255/SOL/checkpoints/TokSparse_K10K100-20251206-162116/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,0.580133929782148,1.0,1.0,10.250819984708539,0.580133929782148,0.580133929782148,1.0,1.0,10.318974397214378,0.6062500029802322,1.0,1.0,0.100000|1.000000,0.466518|0.533482,0.437500|0.562500,quest,0.0,0.0,0.0,0.55,,,,1,1234,10.395555,0.606250,0.606250,1.000000,1.000000,1792,1792
