ckpt_dir,ckpt_path,mode,dataset_name,dataset_config,split,eval_batches,target_keep_effective,target_prune_keep,target_quant_ratio,policy_ppl,policy_keep_all,policy_keep_effective_actual,policy_prune_keep_actual,policy_quant_ratio_actual,fixed_ppl,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,sparsity_levels_kappa_order,policy_action_probs_kappa_order,fixed_action_probs_kappa_order,sparsity_criteria,sparsity_bias,prune_bias,quant_bias,tgt_keep_cli,tgt_prune_keep_cli,tgt_quant_ratio_cli,tgt_quant_bits_cli,rand_num_trials,rand_seeds,rand_ppl_trials,rand_keep_all_trials,rand_keep_eff_trials,rand_prune_keep_trials,rand_quant_ratio_trials,rand_tokens_eff_trials,rand_tokens_trials
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.4619419699800866,1.0,14.30351086720969,1.0,1.0,0.4619419699800866,1.0,13.978019346295117,1.0,0.4619419798254967,1.0,1.000000,0.896763|0.103237,0.896763|0.103237,recency,0.0,0.0,0.0,,0.4,,,1,1234,14.250729,1.000000,1.000000,0.475000,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.4739955413554396,1.0,13.954638220979666,1.0,1.0,0.4739955413554396,1.0,13.990700475367605,1.0,0.47399555891752243,1.0,1.000000,0.876674|0.123326,0.876674|0.123326,recency,0.0,0.0,0.0,,0.45,,,1,1234,14.250729,1.000000,1.000000,0.475000,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.49241072232169764,1.0,13.701924156087268,1.0,1.0,0.49241072232169764,1.0,13.846042364788037,1.0,0.4924107279096331,1.0,1.000000,0.845982|0.154018,0.845982|0.154018,recency,0.0,0.0,0.0,,0.5,,,1,1234,14.250729,1.000000,1.000000,0.475000,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5121651895876441,1.0,13.645649582524532,1.0,1.0,0.5121651895876441,1.0,13.924495475171362,1.0,0.5121651818709714,1.0,1.000000,0.813058|0.186942,0.813058|0.186942,recency,0.0,0.0,0.0,,0.55,,,1,1234,14.152656,1.000000,1.000000,0.512500,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5332589357026986,1.0,13.223972090529857,1.0,1.0,0.5332589357026986,1.0,14.097480503887132,1.0,0.5332589362348829,1.0,1.000000,0.777902|0.222098,0.777902|0.222098,recency,0.0,0.0,0.0,,0.6,,,1,1234,13.988749,1.000000,1.000000,0.550000,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5633928650724036,1.0,12.958702603067396,1.0,1.0,0.5633928650724036,1.0,13.676142641542302,1.0,0.5633928562913623,1.0,1.000000,0.727679|0.272321,0.727679|0.272321,recency,0.0,0.0,0.0,,0.65,,,1,1234,13.988749,1.000000,1.000000,0.550000,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5978794720556054,1.0,12.408915157213984,1.0,1.0,0.5978794720556054,1.0,13.038947606442765,1.0,0.597879447042942,1.0,1.000000,0.670201|0.329799,0.670201|0.329799,recency,0.0,0.0,0.0,,0.7,,,1,1234,13.577289,1.000000,1.000000,0.587500,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.6350446513720921,1.0,12.1629646140547,1.0,1.0,0.6350446513720921,1.0,12.897830923773922,1.0,0.6350446492433548,1.0,1.000000,0.608259|0.391741,0.608259|0.391741,recency,0.0,0.0,0.0,,0.75,,,1,1234,13.189886,1.000000,1.000000,0.625000,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.6698660813271999,1.0,11.890329782354081,1.0,1.0,0.6698660813271999,1.0,12.499262503617985,1.0,0.6698660882455962,1.0,1.000000,0.550223|0.449777,0.550223|0.449777,recency,0.0,0.0,0.0,,0.8,,,1,1234,12.733347,1.000000,1.000000,0.662500,1.000000,1792,1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.7154017960918801,1.0,11.49239219118929,1.0,1.0,0.7154017960918801,1.0,12.211420882994437,1.0,0.7154017771993365,1.0,1.000000,0.474330|0.525670,0.474330|0.525670,recency,0.0,0.0,0.0,,0.85,,,1,1234,12.337280,1.000000,1.000000,0.700000,1.000000,1792,1792
